Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
120910060,НПЦ ЭЛВИС,"Инженер-программист / frontend-разработчик (создание интерфейсов, разработка приложений)",False,,,От 1 года до 3 лет,Полный день,"['JavaScript', 'HTML5', 'CSS3', 'ES6', 'React', 'Angular', 'VueJS', 'Git', 'REST API', 'Ajax', 'UX', 'UI', 'PostgreSQL', 'NoSQL', 'MongoDB', 'SEO оптимизация', 'PHP', 'Python', 'Java']","АО НПЦ «ЭЛВИС» является ведущим отечественным центром проектирования микросхем. Мы являемся ключевым дизайн-центром по микроэлектронике и специализируемся на разработке элементной базы для систем связи и телекоммуникационного оборудования, а также разработки систем безопасности. Наша компания входит в реестр аккредитованных ИТ-компаний и организаций оборонно-промышленного комплекса в России. Мы заботимся о современных технологиях и создаем инновации, чтобы удовлетворить потребности современного мира. Обязанности Создание адаптивных и кроссбраузерных интерфейсов с использованием HTML, CSS и JavaScript. Интеграция с RESTful API и работа с данными на клиентской стороне. Оптимизация производительности приложений и улучшение пользовательского опыта. Участие в проектировании архитектуры приложений. Написание тестов для обеспечения качества кода (юнит-тесты, интеграционные тесты). Участие в код-ревью и работа в команде. Требования Уверенное знание HTML5, CSS3 и JavaScript (ES6+). Опыт работы с современными JavaScript-фреймворками (React, Vue.js, Angular…). Знание принципов адаптивной и отзывчивой верстки. Опыт работы с системами контроля версий (Git). Понимание основ работы с RESTful API и AJAX. Знание основ UX/UI-дизайна. Опыт работы с реляционными (PostgreSQL) и NoSQL (MongoDB) базами данных. Знание основ SEO и оптимизации производительности веб-приложений. Знания языков программирования PHP, Python, Java. Условия участие в передовых проектах в отрасли микро- и радиоэлектроники, телекоммуникаций и связи; работу в команде лучших специалистов отрасли, с возможностью делиться знаниями и перенимать опыт, решая сложные инженерные задачи, на передовом краю развития современных технологий; систему поощрения за создание результатов инновационной деятельности, регистрация патентов; применение результатов работы в подготовке квалификационных работ в магистратуре и аспирантуре. Поддержка научно-технического совета в подготовке статей, публикаций, работ; широкие возможности профессионального роста; гибкий график работы (возможность выбора начала и окончания рабочего дня); расширенный социальный пакет: ДМС (включающий стоматологию, возможность подключения родственников и членов семьи, страховку выезжающих за рубеж, телемедицину, онлайн-консультации юриста и психолога), материальная помощь к важным/значимым событиям, компенсация занятий спортом, сервис корпоративных скидок и привилегий; реферальную программу; у нас дружественная атмосфера и активная корпоративная жизнь. Корпоративные волейбольная и футбольная команды – участником может стать любой желающий; мы ценим ваш опыт и компетенции, поэтому уровень дохода обсуждаем с успешными кандидатами."
121211572,BND LLC,Backend разработчик python (junior),True,,150000.0,От 1 года до 3 лет,Полный день,"['Python', 'Flask', 'PostgreSQL']","BND - консалтинговая компания, специализирующаяся на предоставлении услуг в области бизнес-аналитики (BI, Business Intelligence), риск-менеджмента, управления взаимоотношениями с клиентами (CRM), финансовой консолидации и электронного бизнеса. В одном из наших проектов, мы создаем систему видеоаналитики в реальном времени для крупной производственной компании с ИИ. А в дальнейшем и многих других проектов.Сейчас мы в поисках Backend разработчика python уровня junior!Пожалуйста, откликаясь прикладывайте ссылку на свой git или проекты. Ваши будущие задачи: Поддержка существующих и разработка новых Backend сервисов и компонент (веб-приложения и инфраструктурные сервисы для систем видеоаналитики) Анализ требований и выработка технических решений Оценка ресурсов и сроков выполнения задач в рамках своего участка работ Проектирование баз данных, анализ разработанного кода Рефакторинг существующего кода, проведение code review Внедрение новых технологий, инструментов и методов разработки Устранение дефектов Стек проекта: FastAPI + SQLAlchemy, Flask, PostgreSQL, Docker, Kubernetes, Helm, Git, RabbitMQ Требования: Высшее образование в сфере IT (рассмотрим также студентов последних курсов, которые могут работать фултайм). Опыт разработки Backend (Python) приложений от 1 года Опыт применения фреймворков/библиотек под Python. Знание паттернов проектирования: GOF, SOLID Опыт разработки различных request-reply API (REST, graphQL, gRPC) и message-based API (AMQP, Kafka, MQTT). Опыт работы с одной или несколькими реляционными (Oracle DB, PostgreSQL, MySQL) Знание системы git и Gitlab Опыт работы с ORM SQLAlchemy Опыт работы с FastAPI (плюсом будет опыт работы с Flask) Опыт написания тестов с использованием pytest Будет плюсом: Опыт использования docker, docker-compose, k8s Знание ОС Linux Что мы готовы вам предложить: Работу на интересном проекте с прозрачным результатом Возможность реально влиять на проект Достойный уровень компенсации Оформление по ТК РФ График 5/2 ДМС, после прохождения испытательного срока Гибридный формат работы (офис 1-2 раза в неделю) Офис в центре Москвы 5 минут от м. Новокузнецкая / м. Третьяковская"
121348101,Танто Солюшнз,Python -разработчик,False,,,От 1 года до 3 лет,Полный день,"['Python', 'Django Framework']","ООО «ТАНТО-С» приглашает на открытую вакансию Аналитик данных (Python -разработчика) ООО «ТАНТО-С» основано 2015 г. и входит в группу компаний AVILEX. Компания занимается разработкой программного обеспечения для государственных и коммерческих структур различного уровня и отраслевой принадлежности. Присоединяйся к нашей команде и прими участие в сложных, социально значимых проектах. Будем вместе решать интересные задачи на стыке бизнеса, информационных технологий и инфраструктурных решений, делать то, чем будут пользовать миллионы! Наши ожидания: Доработка существующих модулей и создание новых с помощью Python и Django Rest Framework; Настройка интеграций с внешними поставщиками данных; Настройка вспомогательных сервисов - прокси, мок-сервисы; Участие в проектировании архитектуры приложений; Оптимизация и масштабирование существующих систем; Написание и поддержка автоматизированных тестов; Хорошее понимание принципов REST-архитектуры; Знание ORM (желательно Django ORM); Опыт работы с Docker; Опыт CI/CD. Зона ответственности: Разработка фронтенд-приложений: бизнес-приложений, web-порталов, корпоративных приложений, построенных по принципу одностраничного приложения (SPA) Разработка «многослойных» приложений, построенных на принципах чистой архитектуры; Выполнение работы по подготовке программ к отладке и ее проведению; Принимать участие в разработке архитектуры приложения; Участие в проверке программного кода, написанного другими разработчиками; Разработка инструкций и оформление необходимой технической документации. Наши условия: Офис расположен в БЦ Полларс (Дербеневская набережная, 11); Заработная плата по результатам собеседования; Оформление в соответствии с ТК РФ в аккредитованную IT-компанию; Гибридный график работы пн.-пт. 09:00-18:00 (пятница – дистанционный режим работы); Испытательный срок 3 месяца; ДМС после успешного прохождения испытательного срока; Интересные задачи, разнообразные и востребованные проекты; Молодой дружный коллектив; Чай-кофе-плюшки в офисе."
121371968,КРОК,Python-разработчик,False,,,От 1 года до 3 лет,Полный день,"['Python', 'Django Rest Framework', 'Linux', 'PostgreSQL']","Ищем Python-разработчика в продуктовую команду RockITNet. RockITNet - российская система управления сетевой инфраструктурой, предназначенная для упрощения эксплуатации мультивендорной сетевой инфраструктуры, повышения ее надежности и обеспечения стабильной предсказуемой работы за счет регулярного автоматического аудита, глубокого анализа состояния оборудования и эффективного управления конфигурациями. Ваши задачи: Разработка и оптимизация back-end и frontend-компонентов системы на Python; Интеграция с сетевым оборудованием (Cisco, Huawei, Eltex и др.); Участие в проектировании архитектуры и ключевых технических решений; Написание тестов (unit, integration), рефакторинг кода; Коллаборация с DevOps и сетевыми инженерами. Наши ожидания: Опыт разработки на Python3 от 2-х лет (ООП, структуры данных, асинхронное и многопоточное программирование); Опыт работы с framework Django и FastAPI; Умение работать с PostgreSQL, написание процедур и SQL запросов; Чтение и анализ чужого кода; Владение Git, Jira, Confluence. Будет преимуществом: Продвинутые знания JavaScript и CSS; Знание ОС семейства Linux; Опыт работы с Docker, понимание принципов работы микросервисной архитектуры; Понимание сетевых протоколов TCP/IP. МЫ ПРЕДЛАГАЕМ: Широкий стек технологий и проектов, возможность гибко строить свой карьерный трек; Зарплату, соответствующую опыту и навыкам; Работу в компании с аккредитацией в Минцифре; Поддержку профессионального развития – курсы и тренинги от корпоративного университета, внешнее обучение за счет компании; Возможность делиться экспертизой – выступать на внешних и внутренних митапах и конференциях, писать в техноблоги, участвовать в студенческих образовательных программах от brainz by CROC; Well-being-программы – расширенный пакет ДМС со стоматологией и психологом, телемедицина 24/7, hotline CROC (внутренняя система консультирования и оперативной помощи по вопросам здоровья); Яркую корпоративную жизнь – более 100 программ в год (совместные путешествия, праздники, тимбилдинги, клуб путешественников); Комфортный офис с компенсацией питания. Данное описание вакансии не является офертой."
121308292,Благотворительный фонд Сила правых,Программист-разработчик,True,180000.0,,От 1 года до 3 лет,Полный день,"['SQL', 'SQL Server Profiler', 'MS SQL Server']","Вакансия: Программист-разработчик Занятость: Полная занятость График работы: Полный день Требуемый стек технологий: - Python - PostgreSQL - HTML Желательные навыки: - Golang - Django - Litestar - SQLAlchemy - Redis - Docker - Nginx - Gitlab Дополнительная информация: Мы ищем талантливого программиста для разработки парсеров для нашей мониторинговой системы. Если вы увлечены технологиями и готовы к интересным задачам, присоединяйтесь к нашей команде!"
121429807,Базальт СПО,Python-разработчик,False,,,От 1 года до 3 лет,Полный день,[],"Компания «Базальт СПО» — разработчик российских операционных систем «Альт» с более чем 20-ти летней историей. На текущий момент мы приглашаем на работу высококвалифицированных и увлеченных специалистов, желающих работать в успешной и стабильной компании. Наши разработчики ведут работу над продуктами, число пользователей которых составляет более миллиона человек. Будущему работнику предстоит заниматься совместной разработкой / развитием программного обеспечения (Python) на основе Технических заданий (сценарии использования). ПО представляет собой независимые модули (скрипты), реализующие определенные бизнес-задачи Компании во взаимодействии с системой Redmine, Rabbit MQ, Clickhouse. Не предполагается разработка frontend. Относительно короткие циклы разработки. Обязанности: Реализация интеграции с различными внешними сервисами. Автоматизация бизнес процессов; Написание программного кода, тестов, рефакторинг, документирование. Планирование архитектуры компонентов системы, выбор инструментов реализации. Командная работа, проведение коллективного код-ревью (аргументировать, анализировать, дискутировать с коллегами). Потребуется разобраться в сущностях Redmine и соответствующем API для работы с ними. Требования: Опыт разработки на Python в Linux, Git. Знание основ РСУБД, HTTP, REST API, принципов ООП. Готовность разбираться в предметной области (бизнес-сущности, свойства, отношения). Умение читать и понимать сценарии использования (use cases), написанные в терминах предметной области. Готовность критично и вдумчиво относиться к задаче, взаимодействие с внутренним заказчиком. Культура совместной разработки ПО (документирование исходных текстов, оформление коммитов). Опыт интеграции ПО с внешними системами через API — будет плюсом. Опыт работы с Redmine (сущности системы, настройки, API) – будет плюсом. Чтение технических текстов на английском языке. Условия: Официальное трудоустройство по ТК РФ. Конкурентная зарплата – обсуждается индивидуально по итогам собеседования. Работа в динамичной IT-компании с дружным коллективом и атмосферой поддержки. Современный офис недалеко от м. Дмитровская. Гибкий график – пятидневка с возможностью выбрать удобное время начала и конца рабочего дня. Развитие и обучение за счет компании – курсы, тренинги, конференции. ДМС (добровольное медицинское страхование) после прохождения испытательного срока. Карьерный рост – возможность профессионального развития внутри компании. Льготы для IT-специалистов – компания аккредитована Минцифры (№5370). Присоединяйся к нашей команде и расти вместе с нами!"
121160623,Нильсен,Frontend developer/React разработчик,False,,,От 1 года до 3 лет,Полный день,[],"Ищем разработчика для развития одного из продуктов компании Нильсен. Предполагается работа в команде из 3 человек, продукт - ключевой Core (сервис по работе с данными). Основной стек технологий, встречающийся на наших проектах: DWH: PostgreSQL, Clickhouse;Стек Apache: Superset, AirFlow;Backend: Python, C#, Node.jsFrontend: Typescript, HTML5, CSS3, React и Redux Toolkit. Обязанности: Разработка и поддержка пользовательских интерфейсов для веб-приложений; Оптимизация работы приложения и улучшение пользовательского опыта; Интеграция клиентской части с API; Использование различных архитектурных приемов для обеспечения оптимальной работы с приложением на различных этапах его существования; Разработка новых компонентов по готовым макетам; Багфикс существующей функциональности, поддержание читаемости и модульности кода. Требования: Опыт разработки в качестве frontend -разработчика не менее двух лет; Уверенные знания JavaScript (Typescript), HTML5, CSS3, React и Redux Toolkit; Владение адаптивной и кроссбраузерной версткой; Опыт асинхронной разработки как плюс; Знание принципов REST и уверенное владение навыками работы с GitLab; Приветствуется наличие портфолио с пет-проектами и опыт работы с Node.js; Умение писать чистый и легко поддерживаемый код; Лольяность и использование при написании кода линтеров, преттиеров; Уверенные знания ООП, best-practices разработки SOLID, DRY, KISS; Самостоятельность и готовность к работе в кросс-функциональной команде. Будет плюсом: Опыт работы с Next JS, Webpack, Docker; Опыт UX/UI дизайна и хороший вкус; Опыт написания Unit и End-to-End тестов; Написание документации; Условия: Оформление по ТК РФ; График работы 5/2 с 9:30 до 18:00; Гибридный формат работы; Офис в шаговой доступности от метро Третьяковская/Полянка; Бенефит-кафе: ДМС, фитнес, обучение, отдых и оздоровление; Программа компенсации больничных листов; Программа привилегий PrimeZone; Возможность участия в сообществах компании; Тренинги и обучающие курсы."
120919497,Qualitica,Python-разработчик,False,,,От 3 до 6 лет,Удаленная работа,"['Python', 'Git', 'Django Framework', 'Linux', 'PostgreSQL', 'Docker', 'Django', 'FastAPI']","Мы - аккредитованная IT-компания QUALITICA. Мы делаем чат-боты, онлайн-сервисы, сложные интернет-магазины, CRM и ERP и другие проекты. Много интеграций с различными системами (1С, соцсети, платежные системы, СДЭК, Госуслуги – лишь часть). Проекты разные, сложные, есть где приложить силы. Мы работаем с крупными компаниями-заказчиками и агентствами и это возможность быть причастным к нетривиальным историям, увидеть все изнутри. Ищем python-разработчика (middle, senior), которому сможем предложить участие в интересных проектах. У нас нет жесткой специализации, поэтому проекты разные, скучать не придется. Ожидаем увидеть следующие хард-скилы: Python3. Django Rest, Flask, FastAPI. PostgreSQL. WebSocket. Redis. Celery. Docker. Elasticsearch. Linux. Kubernetes - отлично! HTML/CSS/JS (бога фронтенда не ищем, но хорошее понимание и возможность вносить простые правки должно быть). Что еще хотим увидеть в опыте работы: Уровень middle-senior, обязательно с опытом от 2-3 лет , важен опыт реализации нетиповых коммерческих задач. Приветствуется опыт проектирования систем. Важен опыт работы в команде, в том числе опыт декомпозиции задач, рефакторинга чужого кода. Условия: Удаленная работа в штате компании, полная занятость, стабильность и в финансовом плане, и в плане загрузки интересными проектами. Оплачиваемая сверхурочная работа. При этом у нас нет культа сверхурочки. Забудь о том времени, когда ты приходил работать за приличный оклад, но отрабатывал так, будто платят два). Льготы, полагающиеся компании с аккредитацией Минцифры (отсрочка, ипотека для регионов). Своевременная выплата заработной платы и прочие обычные блага в виде больничных, отпусков и пр. Распределенная команда, сильное менторство от крутого тимлида. Ждем с нетерпением резюме!"
121298906,AYA Group,Python developer (Senior),True,,350000.0,От 3 до 6 лет,Удаленная работа,[],"Мы - команда опытных специалистов, которые занимаются продвижением и созданием продуктов в IT сфере. Наша компания проделала длинный путь, от группы единомышленников до международной компании, которая помогла развиться большому числу проектов-стартапов вырасти в самостоятельный и успешный бизнес, который присутствует на рынках России, СНГ, Латинской Америки, Азии. Наши проекты развиваются и становятся крупнее, а это значит, нам нужны новые люди. Сейчас, в связи с расширением команды, мы в поисках Python-разработчика Обязанности: Разработка асинхронной микросервисной архитектуры на FastAPI. Высокие требования к отказоустойчивости платформы; Тесное взаимодействие с командами тестирования и аналитики. Требования: Уверенное владение Python 3.8+; Опыт работы с CУБД (MySQL\Postgres\Mongo); Опыт работы с Redis; Опыт использования очередей сообщений (RabbitMQ, Kafka); Опыт работы с Django, FastAPI, Flask, etc.; Уверенное владение Git (опыт работы с gitlab); Опыт использования Docker(создание dockerfile и запуск контейнера), docker-compose; Опыт построения многопоточных приложений c замками и флагами, опыт работы с системой библиотек aio-libs; Опыт работы с библиотекой celery, библиотекой socketio; Опыт работы с сабпроцессами и систем-юнитами; Умение проектировать логику задач / выбирать подходящие для решения задачи технологии. Будет плюсом: Опыт работы с инструментами Atlassian: Jira, Confluence; Опыт работы с kubernetes и helm-конфигами; Опыт работы с newSQL решениями для хранения и обработки BigData (TIDB). Условия: Удаленка или офис в Казани (ИТ-парк или БЦ Сфера). Команда отлично работает распределенно; Гибкий график работы; Супер-приятный коллектив, здоровая атмосфера и взаимная поддержка; Возможность принимать прямое участие в создании продукта на миллионы пользователей; Перспективы вырасти в рамках компании; Корпоративные мероприятия: спорт, обучение; ДМС после 3х месяцев работы."
120171329,Геоскан,Backend-разработчик (junior/middle),False,,,Нет опыта,Полный день,"['Python', 'C++', 'SQL', 'HTTP', 'WS', 'MAVLink']","Геоскан – российская группа компаний полного цикла. Наша команда занимается разработкой и производством беспилотных авиационных систем и малых космических аппаратов. Оборудование и программное обеспечение Геоскана широко применяются в промышленности, образовании и индустрии развлечений. Мы устраиваем соревнования по образовательной робототехнике, запускаем спутники в космос и организуем красочные шоу дронов по всему миру. Сейчас в нашу команду мы ищем backend-разработчика (middle). Предстоит работать в команде организаторов всероссийского проекта «Кадры для цифровой промышленности. Создание законченных проектно-конструкторских решений в режиме соревнований «Кибердром». Чем предстоит заниматься: исправление возникающих ошибок в ПО, разработанном для ПАК Geoscan Arena; работа с ПО серверной стойки: nginx, Stun/Turn серверы, ПО Geoscan Arena; работа с БВС: настройка дронов, обновление ПО; работа с РТС: настройка наземных роботов, обновление ПО; разработка/доработка ПО под поставленные организаторами мероприятий задачи; подготовка технической составляющей площадки для проведения мероприятия. Мы ожидаем, что вы: имеете опыт работы в качестве технического руководителя; имеете опыт работы в ведении проекта; имеете опыт работы в системном администрировании (настройка сетей); знаете языки программирования Python, C++, язык запросов SQL; знаете протоколы HTTP, WS, MAVLink; умеете работать в команде; имеете лидерские качества. Вашим преимуществом будет: опыт работы с nginx, stun/turn серверами; опыт работы с файрволлами pfSense/OPNsense; опыт в программировании микроконтроллеров и микрокомпьютеров (Arduino, STM32, Raspberry и т.д.); знание Django, Flask и FastAPI; знание технологии WebRTC. Что мы предлагаем: оформление в соответствии с ТК РФ и полностью белую заработную плату (оплачиваемые отпуск, больничный и другие преференции официального трудоустройства); гибкое начало рабочего дня; современный офис в инновационном кластере &quot;Ломоносов&quot; - м. Раменки/Университет (затем переезд в индустриальный парк «Руднево» – м. Некрасовка); дружный коллектив единомышленников и поле для профессионального развития; обучение и поддержку в процессе работы; полис ДМС после 6 месяцев работы; изучение английского языка в офисе; чай/кофе и уютная, оборудованная всем необходимым, кухня."
